Date,Close,High,Low,SMA5,SMA10,SMA20,SMA30,RSI,%K,%D,ATR,ADX,EMA5,EMA10,EMA20,EMA30,Aroon Up 5,Aroon Down 5,Aroon Up 10,Aroon Down 10,Aroon Up 15,Aroon Down 15,Aroon Up 20,Aroon Down 20,Aroon Up 30,Aroon Down 30,Price Change,Class
2021-02-09,136.00999450683594,137.8800048828125,135.85000610351562,136.20199890136718,136.125,134.94350051879883,133.86033350626627,56.30943678468433,38.97843976722127,47.875752358912614,4.139286586216518,21.27763009436675,136.26478193821086,136.08824874235972,135.4972054374587,135.22368386422787,80.0,100.0,100.0,80.0,73.33333333333333,53.333333333333336,55.0,85.0,36.66666666666667,80.0,0.6199951171875,0
2021-02-10,135.38999938964844,136.99000549316406,134.39999389648438,136.49199829101562,135.45800018310547,135.27300033569335,133.81700007120767,47.2913716980974,34.8118030097162,41.44480080436269,3.7785731724330356,22.884608784002324,135.97318775535672,135.96129431459403,135.48699533766722,135.23441389812598,100.0,20.0,50.0,90.0,80.0,60.0,60.0,90.0,40.0,83.33333333333334,0.2599945068359375,0
2021-02-11,135.1300048828125,136.38999938964844,133.77000427246094,136.03999938964844,135.26200103759766,135.48500061035156,133.82566706339517,42.237979347130775,33.064526879790805,35.61825655224276,3.620715550013951,24.197280237156388,135.69212679784198,135.81015078154283,135.45299624672867,135.2276778326219,80.0,20.0,60.0,100.0,86.66666666666667,66.66666666666667,65.0,95.0,43.333333333333336,86.66666666666667,-0.239990234375,1
2021-02-12,135.3699951171875,135.52999877929688,133.69000244140625,135.76199951171876,135.60299987792968,135.80800018310546,133.88066685994465,32.65961972890247,36.62164474410928,34.832658211205434,3.1414293561662947,25.36841030521403,135.58474957095717,135.73012247893277,135.44509137724856,135.23685959291646,100.0,40.0,70.0,80.0,93.33333333333333,73.33333333333333,70.0,100.0,46.666666666666664,90.0,2.17999267578125,0
2021-02-16,133.19000244140625,136.00999450683594,132.7899932861328,135.01799926757812,135.50800018310548,136.11050033569336,133.89733352661133,28.975105833351577,21.14972677122207,30.27863279837406,3.1621431623186385,26.66155149707705,134.78650052777354,135.26828247210975,135.23032100240644,135.10480429281904,100.0,20.0,80.0,10.0,100.0,80.0,75.0,100.0,50.0,93.33333333333333,2.350006103515625,0
2021-02-17,130.83999633789062,132.22000122070312,129.47000122070312,133.98399963378907,135.09299926757814,136.26100006103516,133.94499994913738,27.524028321691574,10.942449278559337,22.904606931296897,3.150000435965402,27.786991466628784,133.4709991311459,134.46313953861534,134.81219484388112,134.82965539250108,100.0,20.0,90.0,10.0,100.0,6.666666666666671,80.0,5.0,53.333333333333336,96.66666666666667,1.1299896240234375,0
2021-02-18,129.7100067138672,130.0,127.41000366210938,132.8480010986328,134.6699996948242,136.14500045776367,133.90166702270508,32.52841699304757,21.967552851950416,18.019909633910608,3.0121427263532365,30.18955040975649,132.217334992053,133.59893357047932,134.32627216483218,134.49935547775053,80.0,20.0,100.0,10.0,66.66666666666667,6.666666666666671,85.0,5.0,56.666666666666664,100.0,-0.1599884033203125,1
2021-02-19,129.8699951171875,130.7100067138672,128.8000030517578,131.7959991455078,133.91799926757812,135.79500045776368,134.0106669108073,43.52936730268659,23.49561765297408,18.801873261161276,2.6571437290736606,32.83950761674273,131.43488836709784,132.9209447607899,133.90186482696126,134.20068706739164,100.0,40.0,90.0,20.0,73.33333333333333,13.333333333333329,90.0,10.0,60.0,80.0,3.8699951171875,0
2021-02-22,126.0,129.72000122070312,125.5999984741211,129.9220001220703,132.84199981689454,135.14150009155273,133.84666697184244,27.186076169150354,3.257339716010226,16.240170073644908,2.6442854745047435,35.83417206320471,129.62325891139858,131.662591167919,133.14930627201255,133.67161048239865,100.0,20.0,100.0,10.0,80.0,6.666666666666671,95.0,5.0,63.333333333333336,3.3333333333333286,0.1399993896484375,0
2021-02-23,125.86000061035156,126.70999908447266,118.38999938964844,128.45599975585938,131.73699951171875,134.28850021362305,133.6403335571289,23.35079233585421,38.327342818467436,21.693433395817248,3.083571297781808,39.6730721711689,128.36883947771625,130.60757470290673,132.4550866851877,133.167635651944,100.0,20.0,100.0,10.0,86.66666666666667,6.666666666666671,100.0,5.0,66.66666666666667,3.3333333333333286,0.5100021362304688,0
2021-02-24,125.3499984741211,125.55999755859375,122.2300033569336,127.35800018310547,130.67099990844727,133.39799995422362,133.51933364868165,24.110856797553083,35.71060606890958,25.76509620112908,3.1885708400181363,44.02467403636514,127.36255914318454,129.6516517522184,131.77841161746707,132.66327196305224,80.0,20.0,100.0,10.0,93.33333333333333,6.666666666666671,100.0,5.0,70.0,3.3333333333333286,4.3600006103515625,0
2021-02-25,120.98999786376953,126.45999908447266,120.54000091552734,125.61399841308594,129.2309997558594,132.34449996948243,133.25900014241537,3.142791498837923,13.340162859538541,29.12603724897185,3.3642856052943637,49.072239984863096,125.23837205004621,128.07680559068223,130.75094364092445,131.91015750503402,100.0,20.0,90.0,10.0,100.0,6.666666666666671,75.0,5.0,73.33333333333333,3.3333333333333286,-0.2700042724609375,1
2021-02-26,121.26000213623047,124.8499984741211,121.19999694824219,123.89199981689453,127.84399948120117,131.55300025939943,132.9380002339681,4.78409095461484,14.725510198489467,21.258759708979195,3.528571537562779,53.66346172106522,123.91224874544096,126.8373867807819,129.84704445000122,131.2230507070467,100.0,40.0,100.0,20.0,93.33333333333333,13.333333333333329,80.0,10.0,76.66666666666667,6.666666666666671,-6.529998779296875,1
