col1,col2,col3
28.444600175345613,40.0,90.0
26.82693866680649,60.0,93.33333333333331
24.045770672144204,80.0,96.66666666666669
22.181612112186823,100.0,100.0
21.220177093606917,40.0,90.0
18.576756135974478,60.0,93.33333333333331
17.385499699601123,80.0,96.66666666666669
18.7591684416592,100.0,100.0
19.621424833469806,20.0,100.0
21.59248102195657,20.0,96.66666666666669
24.53742389408297,20.0,3.3333333333333286
27.411200761841737,40.0,6.666666666666671
29.920427729117318,60.0,10.0
32.69574198349358,80.0,13.333333333333329
35.82596300175231,100.0,16.666666666666657
39.49252770664645,20.0,20.0
40.87120588267124,40.0,23.33333333333333
41.58892638865411,60.0,26.66666666666667
42.93793633666125,20.0,30.0
43.87195825031883,40.0,33.33333333333334
45.37326840205117,20.0,3.3333333333333286
43.93404007383214,40.0,6.666666666666671
43.3879729661627,20.0,3.3333333333333286
43.14072445014131,20.0,3.3333333333333286
40.40861202035312,40.0,6.666666666666671
37.86052903262652,60.0,10.0
38.28723999503704,80.0,13.333333333333329
37.744126031929376,100.0,16.666666666666657
35.664763643474366,60.0,20.0
32.614166717577994,80.0,23.33333333333333
33.887518225215686,100.0,26.66666666666667
34.68411778524688,20.0,30.0
34.890433184978555,20.0,3.3333333333333286
35.09489841620206,20.0,3.3333333333333286
34.60789313470956,40.0,6.666666666666671
33.77377430137379,60.0,10.0
31.95392756000765,80.0,13.333333333333329
30.24821291717638,20.0,3.3333333333333286
30.70388540652693,40.0,6.666666666666671
30.71688187704332,60.0,10.0
27.75488251319604,20.0,3.3333333333333286
27.63010264631449,20.0,3.3333333333333286
29.568474109346187,20.0,3.3333333333333286
33.04022773121575,20.0,3.3333333333333286
34.00008773986766,20.0,3.3333333333333286
36.35997623528475,20.0,3.3333333333333286
38.45614095965443,20.0,3.3333333333333286
40.02235708410053,40.0,6.666666666666671
39.92040603408914,60.0,10.0
40.45210112216438,80.0,13.333333333333329
42.35145038445943,100.0,16.666666666666657
41.44719166872719,100.0,20.0
39.39939149220902,80.0,23.33333333333333
38.07789038300658,100.0,26.66666666666667
38.42539493113793,100.0,30.0
38.11408885870732,100.0,33.33333333333334
37.53369141058432,40.0,36.66666666666667
35.941468247037584,60.0,40.0
35.36133153892968,20.0,43.333333333333336
33.171277582218735,20.0,46.66666666666666
31.342219164610217,20.0,50.0
29.256362194806908,20.0,53.333333333333336
27.045817903974825,20.0,56.66666666666666
26.08083293438487,40.0,60.0
25.62970987712946,60.0,63.333333333333336
26.83240970789108,80.0,66.66666666666667
27.12602381752505,100.0,70.0
27.12802173697601,100.0,73.33333333333333
27.58187762304604,60.0,76.66666666666667
27.46316401597243,80.0,80.0
25.926430126242963,100.0,83.33333333333334
24.247934152114837,100.0,86.66666666666667
21.46506154868763,20.0,90.0
19.868207315590137,40.0,93.33333333333331
18.67793177401922,60.0,96.66666666666669
16.431805166481105,20.0,100.0
17.111368340366436,40.0,6.666666666666671
16.24123589033751,20.0,3.3333333333333286
15.070307549744795,40.0,6.666666666666671
14.646432321092044,60.0,10.0
14.802969047654727,80.0,13.333333333333329
14.508435721070478,100.0,16.666666666666657
14.390215209273794,100.0,20.0
15.823604542247162,80.0,23.33333333333333
16.626799725123988,100.0,26.66666666666667
15.904918321189683,80.0,30.0
15.1994512132063,100.0,33.33333333333334
14.563517340409309,100.0,36.66666666666667
14.341803970037692,100.0,40.0
19.56016119054365,100.0,43.333333333333336
24.736301658768333,100.0,46.66666666666666
29.609377360167816,100.0,50.0
33.431142084019065,100.0,53.333333333333336
37.38920281770515,100.0,56.66666666666666
41.20047766515692,20.0,60.0
44.16853993774403,20.0,63.333333333333336
46.623807144207646,40.0,66.66666666666667
46.79337613973882,60.0,70.0
47.19689963246994,20.0,73.33333333333333
48.49191025966656,20.0,76.66666666666667
49.44282095114317,20.0,80.0
50.60160511369897,40.0,83.33333333333334
49.92475021632663,60.0,86.66666666666667
44.72366892021859,80.0,90.0
41.2740479996558,20.0,93.33333333333331
37.97420513546409,20.0,96.66666666666669
34.78553382238719,40.0,100.0
32.49687989630847,20.0,100.0
31.63859974533912,20.0,3.3333333333333286
31.824949256168622,40.0,6.666666666666671
28.892841065238063,60.0,10.0
26.85783543049156,80.0,13.333333333333329
25.60370744074472,100.0,16.666666666666657
25.49106797010552,20.0,20.0
