col1,col2,col3,col4,col5,col6,col7,col8
49.40999984741211,39.92600864145668,49.483889360247545,40.0,100.0,53.333333333333336,95.0,26.66666666666667
49.5759994506836,38.56656695103761,49.5225923982054,60.0,100.0,60.0,100.0,30.0
49.83399963378906,36.764142842706256,49.78172801115712,20.0,40.0,66.66666666666667,5.0,33.33333333333334
50.04199905395508,36.5325220132212,50.08448488300775,20.0,60.0,73.33333333333333,5.0,36.66666666666667
50.11199951171875,36.21184761782989,50.14632340792639,40.0,80.0,80.0,10.0,40.0
50.19799957275391,37.323425517401134,50.14088262798934,60.0,100.0,86.66666666666667,15.0,43.333333333333336
50.43199996948242,39.74310367640447,50.35058857124746,20.0,40.0,93.33333333333331,5.0,46.66666666666666
50.39400024414063,40.96732282142994,50.27039258428216,40.0,20.0,100.0,10.0,50.0
50.38200073242187,41.256399441888206,50.3902620788932,60.0,40.0,100.0,15.0,53.333333333333336
50.43600082397461,43.237964360084256,50.44017502443791,80.0,60.0,93.33333333333331,20.0,56.66666666666666
50.55200042724609,44.44118245885461,50.53011637778283,100.0,80.0,100.0,25.0,60.0
50.43199996948242,46.31856612898033,50.410076974837,40.0,100.0,100.0,30.0,63.333333333333336
50.20800018310547,44.7189239602189,49.9367185427136,60.0,20.0,6.666666666666671,35.0,66.66666666666667
50.0620002746582,42.19298353717981,49.92447953710204,80.0,40.0,13.333333333333329,40.0,70.0
49.97399978637695,39.46430190752629,49.982985849441725,100.0,60.0,20.0,44.99999999999999,73.33333333333333
49.827999877929685,37.4992329687184,49.9819904137066,100.0,80.0,26.66666666666667,50.0,76.66666666666667
49.78199996948242,34.5389793801334,49.96799315137406,60.0,100.0,33.33333333333334,55.0,80.0
50.14199981689453,31.187516443847706,50.24199573942516,20.0,100.0,40.0,5.0,83.33333333333334
50.48999938964844,29.914268095676675,50.707996956166255,20.0,60.0,46.66666666666666,5.0,86.66666666666667
50.64199981689453,28.23481391982154,50.758664840894696,40.0,80.0,53.333333333333336,10.0,90.0
50.93399963378906,25.84051133973705,50.9857761028328,60.0,100.0,60.0,15.0,93.33333333333331
51.12200012207031,22.217169286913872,50.95051775792695,80.0,100.0,66.66666666666667,20.0,96.66666666666669
51.03600006103515,19.06452268658572,50.75367870873516,100.0,20.0,73.33333333333333,25.0,100.0
50.91399993896484,15.70968684252407,50.8457853989224,80.0,40.0,80.0,30.0,100.0
50.98600006103516,14.024566350450142,50.97052400618265,100.0,60.0,86.66666666666667,35.0,96.66666666666669
50.94600067138672,12.995765762626418,51.06034989694403,20.0,80.0,93.33333333333331,40.0,100.0
50.88400039672852,15.162328688450604,50.89689982957076,40.0,100.0,100.0,44.99999999999999,50.0
50.97400054931641,16.259066595388436,50.86793367747752,60.0,40.0,100.0,50.0,53.333333333333336
50.96800079345703,17.424729379275302,50.91195578498502,80.0,60.0,86.66666666666667,55.0,56.66666666666666
51.002000427246095,18.122718391973034,51.07130365320616,20.0,80.0,93.33333333333331,60.0,60.0
51.05800018310547,19.524857932376086,51.22086925472533,20.0,100.0,100.0,65.0,63.333333333333336
51.34800033569336,20.6334932398282,51.48724632240478,20.0,100.0,66.66666666666667,5.0,66.66666666666667
51.79400024414063,20.2459247328913,52.00483118677897,20.0,100.0,73.33333333333333,5.0,70.0
52.363999938964845,21.372463073732064,52.61988694922635,20.0,100.0,80.0,5.0,73.33333333333333
52.716000366210935,23.222983870699316,52.79659180811054,40.0,100.0,86.66666666666667,10.0,76.66666666666667
52.954000091552736,24.235256006466248,52.76772756689792,60.0,100.0,93.33333333333331,15.0,80.0
53.05199966430664,26.72466724257103,52.681817818443015,80.0,20.0,100.0,20.0,83.33333333333334
53.00599975585938,28.7406056903312,52.724545670059015,100.0,40.0,80.0,25.0,86.66666666666667
52.87399978637696,29.893001838092168,52.87969665560901,20.0,60.0,86.66666666666667,30.0,90.0
52.89999923706055,30.609201964561827,53.0131306968383,20.0,80.0,93.33333333333331,35.0,93.33333333333331
52.981999206542966,31.82355837906482,53.04875344185379,40.0,100.0,100.0,40.0,96.66666666666669
53.11599960327148,34.24291377520927,53.09250239629446,60.0,100.0,100.0,44.99999999999999,100.0
53.2239990234375,36.987708401999086,53.17833442223668,20.0,60.0,100.0,50.0,100.0
53.20399932861328,37.96929259933355,53.148889665687086,40.0,20.0,100.0,55.0,93.33333333333331
53.16399993896484,38.601164511321485,53.12592705414296,60.0,20.0,100.0,60.0,96.66666666666669
53.20600051879883,39.38913179466404,53.19395197978021,80.0,40.0,100.0,65.0,100.0
53.306000518798825,39.53943560769189,53.355968088245405,20.0,60.0,73.33333333333333,70.0,83.33333333333334
53.43600082397461,37.82086214336931,53.570645392163605,20.0,80.0,80.0,5.0,86.66666666666667
53.652000427246094,36.32075929921852,53.77042965109084,20.0,100.0,86.66666666666667,5.0,90.0
53.95800018310547,36.97560646601953,54.050286637511086,20.0,100.0,93.33333333333331,5.0,93.33333333333331
54.17999954223633,36.90741021549525,54.18019063391039,40.0,100.0,100.0,10.0,96.66666666666669
54.3379997253418,37.60322455388643,54.2767941628413,60.0,100.0,100.0,15.0,100.0
54.26999969482422,36.01140580177541,54.071196057698245,80.0,20.0,60.0,20.0,90.0
54.152000427246094,33.94778886799035,53.90746464881706,100.0,20.0,66.66666666666667,25.0,93.33333333333331
53.94800033569336,31.669341626050876,53.80164315007401,80.0,40.0,73.33333333333333,30.0,96.66666666666669
53.912000274658205,29.768111315301788,53.95442820722708,100.0,60.0,80.0,35.0,100.0
53.81399993896484,27.311787829487777,53.96295198556349,40.0,80.0,86.66666666666667,40.0,100.0
53.97799987792969,27.387532418848615,54.13530117112111,20.0,100.0,93.33333333333331,44.99999999999999,100.0
