col1,col2,col3,col4,col5,col6,col7,col8
207.0269994099935,5.214285714285714,43.44075025505374,80.0,100.0,80.0,90.0,26.66666666666667
206.82066599527997,5.186428615025112,41.06369203344354,100.0,20.0,90.0,93.33333333333331,30.0
206.696999613444,5.302142551967076,37.2181264406171,20.0,40.0,100.0,96.66666666666669,33.33333333333334
206.41699981689453,5.100714547293527,32.903551884899336,40.0,60.0,100.0,100.0,36.66666666666667
206.05599975585935,5.184999738420759,28.938157639585,60.0,80.0,90.0,100.0,40.0
205.7143330891927,4.840000697544643,25.60565686202346,80.0,100.0,100.0,90.0,43.333333333333336
205.5423334757487,4.676428658621652,22.794836949098595,100.0,40.0,60.0,93.33333333333331,46.66666666666666
205.27933349609376,4.357142857142857,20.64453313468808,100.0,20.0,10.0,96.66666666666669,50.0
205.0963338216146,4.469999040876116,18.71168102762445,60.0,40.0,20.0,100.0,53.333333333333336
204.9850006103516,4.5678558349609375,18.14002379159043,20.0,60.0,30.0,100.0,56.66666666666666
205.203000386556,5.047142028808594,18.606826599817943,20.0,80.0,40.0,3.3333333333333286,60.0
205.36600036621093,5.0149993896484375,20.295014108679734,40.0,100.0,50.0,6.666666666666671,63.333333333333336
205.4673334757487,5.229285103934152,21.55363156406127,60.0,100.0,60.0,10.0,66.66666666666667
205.95966695149735,5.277143205915179,23.64651875665964,80.0,100.0,70.0,13.333333333333329,70.0
206.43233388264971,5.218570164271763,25.761698943744022,100.0,60.0,80.0,16.666666666666657,73.33333333333333
206.87200063069665,5.382856096540179,27.087114302796326,60.0,80.0,90.0,20.0,76.66666666666667
207.05500081380208,5.611428397042411,27.39000850256725,80.0,20.0,100.0,23.33333333333333,80.0
207.3973342895508,5.827141898018973,27.78487510614882,100.0,40.0,100.0,26.66666666666667,83.33333333333334
208.0056676228841,6.3285707746233255,30.38088950358836,20.0,60.0,30.0,3.3333333333333286,86.66666666666667
208.6516677856445,6.442141941615513,32.53083191578298,20.0,80.0,40.0,3.3333333333333286,90.0
209.35700124104815,6.445714678083148,34.449496259169265,20.0,100.0,50.0,3.3333333333333286,93.33333333333331
210.39633433024088,6.394999912806919,35.85873903967315,20.0,100.0,60.0,3.3333333333333286,96.66666666666669
211.2676676432292,6.079285757882254,36.842235936250695,40.0,100.0,70.0,6.666666666666671,100.0
212.2683344523112,5.935713631766183,37.30324570749668,60.0,100.0,80.0,10.0,100.0
213.14633433024088,5.509998866489956,35.642206087678275,80.0,100.0,90.0,13.333333333333329,96.66666666666669
213.82666778564453,5.267857142857143,35.062814068566446,100.0,20.0,100.0,16.666666666666657,100.0
214.47000122070312,5.194285801478794,35.10025871701437,60.0,20.0,100.0,20.0,66.66666666666667
214.39166768391928,5.792142595563616,33.81077098344145,80.0,20.0,10.0,23.33333333333333,70.0
214.36600087483723,6.002857753208706,31.717906749565632,100.0,40.0,20.0,26.66666666666667,73.33333333333333
214.40800069173176,5.869286673409598,30.20441342555697,100.0,60.0,30.0,30.0,76.66666666666667
214.4596674601237,5.502143859863281,29.83828807798526,100.0,80.0,40.0,33.33333333333334,80.0
214.5106674194336,5.257144383021763,29.86301961866115,60.0,100.0,50.0,36.66666666666667,83.33333333333334
214.60633392333983,4.9200014386858255,29.426795604444003,20.0,40.0,60.0,40.0,86.66666666666667
214.75800018310548,4.874287196568081,27.88349548256412,20.0,60.0,70.0,43.333333333333336,90.0
214.8913335164388,4.753571646554129,26.614135535762863,40.0,80.0,80.0,46.66666666666666,93.33333333333331
215.0320002237956,4.5750002179827005,25.813237214987225,60.0,100.0,90.0,50.0,96.66666666666669
215.28233337402344,4.781429835728237,24.0188115292687,20.0,40.0,100.0,53.333333333333336,100.0
215.7593332926432,4.660001482282366,22.05515449285402,20.0,60.0,70.0,56.66666666666666,36.66666666666667
216.10366617838545,4.715715680803571,21.54706468537325,40.0,80.0,80.0,60.0,40.0
216.3423329671224,4.567143031529018,20.68163807027957,20.0,100.0,90.0,63.333333333333336,43.333333333333336
216.3846664428711,4.657857622419085,19.120392507344047,20.0,100.0,100.0,66.66666666666667,46.66666666666666
216.6769999186198,3.894287109375,21.534748798753476,20.0,80.0,70.0,70.0,50.0
216.9796666463216,3.697144644601004,24.013916034141086,40.0,100.0,80.0,73.33333333333333,53.333333333333336
217.1259999593099,3.621429443359375,26.774581695456227,60.0,100.0,90.0,76.66666666666667,56.66666666666666
217.3329996744792,3.6085717337472096,30.56059466551853,80.0,100.0,100.0,80.0,60.0
217.71399943033853,3.7950003487723216,35.48157912050918,20.0,60.0,100.0,3.3333333333333286,63.333333333333336
218.21099955240885,3.512143816266741,38.76609360861677,20.0,80.0,90.0,3.3333333333333286,66.66666666666667
218.55699920654297,3.392858232770647,41.91277001202826,40.0,100.0,100.0,6.666666666666671,70.0
218.65733235677084,3.455000741141183,43.419290362851214,60.0,100.0,100.0,10.0,73.33333333333333
218.89366556803387,3.629286629813058,44.06268496042718,20.0,40.0,100.0,3.3333333333333286,76.66666666666667
219.0403325398763,3.4885711669921875,45.84014246652384,20.0,60.0,80.0,3.3333333333333286,80.0
219.16866607666012,3.531428745814732,48.34551577381866,20.0,80.0,90.0,3.3333333333333286,83.33333333333334
219.3679992675781,3.4864283970424106,51.63767392959466,20.0,100.0,100.0,3.3333333333333286,86.66666666666667
219.5893325805664,3.4700001307896207,54.62874665950325,40.0,100.0,100.0,6.666666666666671,90.0
219.88099924723304,3.587856837681361,58.892694606372565,20.0,100.0,70.0,3.3333333333333286,93.33333333333331
220.3423324584961,3.6778564453125,59.2202668160424,20.0,60.0,80.0,3.3333333333333286,96.66666666666669
220.7723322550456,3.768571036202567,59.104218309950646,40.0,80.0,90.0,6.666666666666671,100.0
221.62933247884115,3.979286193847656,58.60210463116846,60.0,100.0,100.0,10.0,90.0
222.43033243815103,3.932858058384487,57.38205924666675,80.0,20.0,100.0,13.333333333333329,93.33333333333331
223.13233286539716,3.900000435965402,53.141071322278535,100.0,20.0,100.0,16.666666666666657,96.66666666666669
223.90733286539717,3.9628568376813615,49.170705650453705,100.0,40.0,20.0,20.0,100.0
224.71233266194665,3.9635707310267856,46.42449744871721,100.0,60.0,30.0,23.33333333333333,90.0
225.1269994099935,4.177142551967076,44.633179366050506,40.0,20.0,10.0,26.66666666666667,93.33333333333331
225.49266611735027,4.132857186453683,41.24587925469082,60.0,20.0,10.0,30.0,96.66666666666669
