col1,col2,col3,col4,col5
3.814284188406808,28.444600175345613,40.0,80.0,90.0
3.7564283098493294,26.82693866680649,60.0,90.0,93.33333333333331
3.640714372907366,24.045770672144204,80.0,100.0,96.66666666666669
3.6178577968052457,22.181612112186823,100.0,100.0,100.0
3.6107145036969865,21.220177093606917,40.0,90.0,90.0
3.5428575788225447,18.576756135974478,60.0,100.0,93.33333333333331
3.41428702218192,17.385499699601123,80.0,100.0,96.66666666666669
3.0728585379464284,18.7591684416592,100.0,30.0,100.0
3.02928706577846,19.621424833469806,20.0,40.0,100.0
2.8550011771065846,21.59248102195657,20.0,50.0,96.66666666666669
3.278573172433036,24.53742389408297,20.0,60.0,3.3333333333333286
3.574287414550781,27.411200761841737,40.0,70.0,6.666666666666671
3.6064300537109375,29.920427729117318,60.0,80.0,10.0
3.853572300502232,32.69574198349358,80.0,90.0,13.333333333333329
3.8557161603655135,35.82596300175231,100.0,100.0,16.666666666666657
3.938572474888393,39.49252770664645,20.0,40.0,20.0
4.317858014787946,40.87120588267124,40.0,50.0,23.33333333333333
4.570715767996652,41.58892638865411,60.0,60.0,26.66666666666667
4.726429530552456,42.93793633666125,20.0,70.0,30.0
4.717143467494419,43.87195825031883,40.0,80.0,33.33333333333334
4.823571341378348,45.37326840205117,20.0,90.0,3.3333333333333286
4.827142987932477,43.93404007383214,40.0,100.0,6.666666666666671
4.899285452706473,43.3879729661627,20.0,70.0,3.3333333333333286
5.001428876604352,43.14072445014131,20.0,80.0,3.3333333333333286
4.745714460100446,40.40861202035312,40.0,90.0,6.666666666666671
4.449285234723773,37.86052903262652,60.0,100.0,10.0
4.609285627092634,38.28723999503704,80.0,100.0,13.333333333333329
4.439286368233817,37.744126031929376,100.0,90.0,16.666666666666657
4.480000087193081,35.664763643474366,60.0,100.0,20.0
4.56214359828404,32.614166717577994,80.0,10.0,23.33333333333333
4.485715593610491,33.887518225215686,100.0,20.0,26.66666666666667
4.494286673409598,34.68411778524688,20.0,30.0,30.0
4.418572562081473,34.890433184978555,20.0,40.0,3.3333333333333286
4.352858407156808,35.09489841620206,20.0,50.0,3.3333333333333286
4.1100006103515625,34.60789313470956,40.0,60.0,6.666666666666671
4.028572082519531,33.77377430137379,60.0,70.0,10.0
3.999286106654576,31.95392756000765,80.0,80.0,13.333333333333329
3.928571428571429,30.24821291717638,20.0,90.0,3.3333333333333286
3.748572213309152,30.70388540652693,40.0,100.0,6.666666666666671
3.747144426618304,30.71688187704332,60.0,100.0,10.0
3.557859148297991,27.75488251319604,20.0,100.0,3.3333333333333286
3.8685738699776784,27.63010264631449,20.0,60.0,3.3333333333333286
3.889287676130022,29.568474109346187,20.0,70.0,3.3333333333333286
3.7371433803013394,33.04022773121575,20.0,80.0,3.3333333333333286
3.489286150251116,34.00008773986766,20.0,90.0,3.3333333333333286
3.2278573172433034,36.35997623528475,20.0,100.0,3.3333333333333286
3.063572474888393,38.45614095965443,20.0,80.0,3.3333333333333286
2.997858319963728,40.02235708410053,40.0,90.0,6.666666666666671
3.2071446010044644,39.92040603408914,60.0,100.0,10.0
3.3014308384486606,40.45210112216438,80.0,100.0,13.333333333333329
3.3550022670200894,42.35145038445943,100.0,100.0,16.666666666666657
3.6214305332728793,41.44719166872719,100.0,10.0,20.0
3.7600021362304688,39.39939149220902,80.0,10.0,23.33333333333333
3.7628587995256697,38.07789038300658,100.0,20.0,26.66666666666667
3.642858232770647,38.42539493113793,100.0,30.0,30.0
3.2650015694754466,38.11408885870732,100.0,40.0,33.33333333333334
3.2071446010044644,37.53369141058432,40.0,50.0,36.66666666666667
3.2192884172712053,35.941468247037584,60.0,60.0,40.0
3.3521456037248885,35.36133153892968,20.0,70.0,43.333333333333336
3.3307179042271207,33.171277582218735,20.0,80.0,46.66666666666666
3.392146519252232,31.342219164610217,20.0,90.0,50.0
3.5150037493024557,29.256362194806908,20.0,100.0,53.333333333333336
3.420003618512834,27.045817903974825,20.0,90.0,56.66666666666666
3.63071768624442,26.08083293438487,40.0,100.0,60.0
4.062146868024554,25.62970987712946,60.0,10.0,63.333333333333336
3.997146606445313,26.83240970789108,80.0,20.0,66.66666666666667
